Project Name,Renewable Technology,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),New Renewable Capacity (MW),ZIP Code,County/Province,State/Province,Georeference,Household_Income,Normalized Capacity,Environmental Score,Social Score
Prattsburgh Windfarm,Land Based Wind,96.13333333333334,75.42857142857143,55.5,14873,Steuben,NY,POINT (-77.28905 42.52343),22763.0,0.039529914529914535,3.9529914529914536,90
Prattsburgh,Land Based Wind,96.13333333333334,75.42857142857143,54.0,14873,Steuben,NY,POINT (-77.28905 42.52343),32973.0,0.038461538461538464,3.8461538461538463,75
Howard,Land Based Wind,96.13333333333334,75.42857142857143,51.25,14823,Steuben,NY,POINT (-77.60504 42.27),47393.0,0.036502849002849,3.6502849002849,60
East Point Energy Center,Solar,96.13333333333334,75.42857142857143,50.0,13459,Schoharie,NY,POINT (-74.61722 42.79531),157566.0,0.03561253561253561,3.561253561253561,5
Watkins Glen Solar Energy Center,Solar,96.13333333333334,75.42857142857143,50.0,14891,Schuyler,NY,POINT (-76.87373 42.38107),157661.0,0.03561253561253561,3.561253561253561,5
Hecate Energy Greene County 1,Solar,96.13333333333334,75.42857142857143,49.99,12051,Greene,NY,POINT (-73.80015 42.34806),85975.0,0.03560541310541311,3.560541310541311,10
Black River,Biomass,96.13333333333334,75.42857142857143,43.26,13602,Jefferson,NY,POINT (-75.76748 44.03764),43095.0,0.03081196581196581,3.081196581196581,60
Foothills Solar Farm,Solar,96.13333333333334,75.42857142857143,40.0,12117,Fulton,NY,POINT (-74.26411 43.10464),159437.0,0.02849002849002849,2.849002849002849,5
Dutch Hill,Land Based Wind,96.13333333333334,75.42857142857143,37.5,14826,Steuben,NY,POINT (-77.51062 42.50697),91894.0,0.02670940170940171,2.670940170940171,10
Cohocton Wind Project,Land Based Wind,96.13333333333334,75.42857142857143,37.09,14826,Steuben,NY,POINT (-77.51062 42.50697),52338.0,0.02641737891737892,2.641737891737892,45
Locust Ridge,Land Based Wind,96.13333333333334,75.42857142857143,26.0,19087,,PA,POINT (-75.39125 40.0455),61066.0,0.01851851851851852,1.851851851851852,30
Niagara Generating Facility*,Biomass,96.13333333333334,75.42857142857143,26.0,14304,Niagara,NY,POINT (-78.96109 43.09076),154061.0,0.01851851851851852,1.851851851851852,5
Silver Lake Solar,Solar,96.13333333333334,75.42857142857143,24.99,14530,Wyoming,NY,POINT (-78.0055 42.71961),75225.0,0.017799145299145298,1.7799145299145298,20
Bear Creek,Land Based Wind,96.13333333333334,75.42857142857143,22.0,18101,,PA,POINT (-75.47027 40.60263),21324.0,0.01566951566951567,1.566951566951567,90
Bellmont,Land Based Wind,96.13333333333334,75.42857142857143,21.0,12969,Franklin,NY,POINT (-74.17381 44.7338),138517.0,0.014957264957264958,1.4957264957264957,5
Greene County 1,Solar,96.13333333333334,75.42857142857143,20.0,12051,Greene,NY,POINT (-73.80015 42.34806),62068.0,0.014245014245014245,1.4245014245014245,30
Puckett Solar,Solar,96.13333333333334,75.42857142857143,20.0,13746,Chenango,NY,POINT (-75.84875 42.23408),178222.0,0.014245014245014245,1.4245014245014245,5
SunEast Highview Solar,Solar,96.13333333333334,75.42857142857143,20.0,14530,Wyoming,NY,POINT (-78.0055 42.71961),68212.0,0.014245014245014245,1.4245014245014245,30
Easton Solar Farm,Solar,96.13333333333334,75.42857142857143,20.0,12834,Washington,NY,POINT (-73.49696 43.08752),158027.0,0.014245014245014245,1.4245014245014245,5
ELP Stillwater Solar,Solar,96.13333333333334,75.42857142857143,20.0,12118,Saratoga,NY,POINT (-73.68503 42.90454),61711.0,0.014245014245014245,1.4245014245014245,30
Darby Solar,Solar,96.13333333333334,75.42857142857143,20.0,12154,Washington,NY,POINT (-73.58644 42.89705),153333.0,0.014245014245014245,1.4245014245014245,5
Branscomb Solar,Solar,96.13333333333334,75.42857142857143,20.0,12834,Washington,NY,POINT (-73.49696 43.08752),176325.0,0.014245014245014245,1.4245014245014245,5
Clear View Solar,Solar,96.13333333333334,75.42857142857143,20.0,14808,Steuben,NY,POINT (-77.47228 42.55434),156794.0,0.014245014245014245,1.4245014245014245,5
Scotch Ridge Solar,Solar,96.13333333333334,75.42857142857143,20.0,12056,Schenectady,NY,POINT (-74.13576 42.76111),96915.0,0.014245014245014245,1.4245014245014245,10
Grissom Solar,Solar,96.13333333333334,75.42857142857143,20.0,12095,Montgomery,NY,POINT (-74.36828 43.00656),78123.0,0.014245014245014245,1.4245014245014245,20
Regan Solar,Solar,96.13333333333334,75.42857142857143,20.0,12068,Montgomery,NY,POINT (-74.3745 42.95452),43398.0,0.014245014245014245,1.4245014245014245,60
Coeymans Solar,Solar,96.13333333333334,75.42857142857143,20.0,12158,Albany,NY,POINT (-73.79876 42.53269),144257.0,0.014245014245014245,1.4245014245014245,5
Rising Solar,Solar,96.13333333333334,75.42857142857143,20.0,10990,Orange,NY,POINT (-74.35825 41.25848),194245.0,0.014245014245014245,1.4245014245014245,5
Janis Solar,Solar,96.13333333333334,75.42857142857143,20.0,13040,Cortland,NY,POINT (-75.89576 42.54157),72625.0,0.014245014245014245,1.4245014245014245,20
Rock District Solar,Solar,96.13333333333334,75.42857142857143,19.99,12043,Schoharie,NY,POINT (-74.48317 42.6782),22234.0,0.014237891737891738,1.423789173789174,90
SunEast Flat Stone Solar,Solar,96.13333333333334,75.42857142857143,19.99,13478,Oneida,NY,POINT (-75.57247 43.14021),59396.0,0.014237891737891738,1.423789173789174,45
SED Skyline Solar,Solar,96.13333333333334,75.42857142857143,19.99,13476,Oneida,NY,POINT (-75.53929 43.07954),44510.0,0.014237891737891738,1.423789173789174,60
Niagara Solar,Solar,96.13333333333334,75.42857142857143,19.99,14011,Wyoming,NY,POINT (-78.28106 42.86402),155975.0,0.014237891737891738,1.423789173789174,5
SED Hills Solar,Solar,96.13333333333334,75.42857142857143,19.99,13365,Herkimer,NY,POINT (-74.85884 43.04079),112433.0,0.014237891737891738,1.423789173789174,5
SunEast Hilltop Solar,Solar,96.13333333333334,75.42857142857143,19.99,12154,Rensselaer,NY,POINT (-73.58644 42.89705),175740.0,0.014237891737891738,1.423789173789174,5
Rock District Solar,Solar,96.13333333333334,75.42857142857143,19.99,12043,Schoharie,NY,POINT (-74.48317 42.6782),158292.0,0.014237891737891738,1.423789173789174,5
SunEast Hampton Corners Solar,Solar,96.13333333333334,75.42857142857143,19.99,14462,Livingston,NY,POINT (-77.76808 42.66293),199348.0,0.014237891737891738,1.423789173789174,5
