Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference
12/11/2024,Tier 1,Buffalo BioEnergy,2554,,30.00,,Yes,,Biogas - ADG,New,,Sustainable BioPower LLC,Quasar Energy Group,,,West,N/A,,,,,14224,Erie,NY,Western New York,Operational,2017,2017,10,1.24,1.24,4750,4750,,,,POINT (-78.75383 42.83505)
12/11/2024,Non-Tier 1,Burt Dam Incremental Hydro,3257,,10.00,,,,Hydroelectric,Existing,Upgrade,,,,,West,,,SEQR,,,14028,Niagara,NY,Western New York,Operational,2014,2016,19,0.09,0.08,324,324,,,,POINT (-78.71228 43.31645)
12/11/2024,Tier 1,Canisteo Wind & Storage,RESRFP18-1,,,,,,Land Based Wind,New,,,Invenergy,,,Central,,,,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0205,,14855,Steuben,NY,Southern Tier,Cancelled,,,20,290,290,894221,1073065,,,,POINT (-77.50328 42.12147)
12/11/2024,Tier 1,Canisteo Wind Energy Center,RESRFP23-1,,,99.99,,,Land Based Wind,New,,Canisteo Wind Energy LLC,Invenergy,,,Central,,519,Article 10,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0205,,14855,Steuben,NY,Southern Tier,Under Development,,2028,20,252,252,752021,902425,,,,POINT (-77.50328 42.12147)
12/11/2024,Tier 4,Champlain Hudson Power Express (CHPE),T4RFP21-1,,,,,,Hydroelectric,,,H.Q. Energy Services (U.S.) Inc.,"Transmission Developers, Inc. (backed by Blackstone) and Hydro-Qu�bec",,,,,,Article 7,https://chpexpress.com/overview-of-public-documents/permits/,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=10-T-0139,,,,,Under Development,,2026,25,,,10402500,,,,1250,
12/11/2024,Tier 1,Chasm Falls,RESRFP20-1,,,56.17,Yes,,Hydroelectric,Existing,Return to Service,Ampersand Chasm Falls Hydro LLC,Ampersand Hydro,,,North,5016,,SEQR,,,12920,Franklin,NY,North Country,Operational,2022,2022,20,1.6,1.6,5999,7199,,,,POINT (-74.08016 44.92649)
12/11/2024,Non-Tier 1,Chateaugay Wind Farm,1037,,17.75,,Yes,Yes,Land Based Wind,,,,,,,North,,,,,,12920,Clinton,NY,North Country,Completed,2009,2009,10,106.5,101.2,204817,215058,,,,POINT (-74.08016 44.92649)
12/11/2024,Non-Tier 1,Chautauqua LFGE,2226,,25.00,,Yes,Yes,Biogas - LFG,,,,,,,West,323629,,,,,14701,Chautauqua,NY,Western New York,Completed,2011,2011,10,8,2.11,11209,11209,,,,POINT (-79.2378 42.09605)
12/11/2024,Tier 1,Cider Solar Farm,RESRFP20-1,,,52.4,Yes,,Solar,New,,Hecate Energy Cider Solar LLC,Hecate Energy,,,West,,811,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-01108,,14058,Genesee,NY,Finger Lakes,Cancelled,,,20,500,500,928560,1114272,,,,POINT (-78.18627 43.0822)
12/11/2024,Tier 1,Cider Solar Farm,RESRFP23-1,,,74.87,Yes,,Solar,New,,Hecate Energy Cider Solar LLC,Greenbacker Renewable Energy Center,,,Genesee,,811,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-01108,,14125,Genesee,NY,Finger Lakes,Under Development,,2027,20,500,500,952197,1142636,,,,POINT (-78.27071 43.06599)
