,Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference,Median Household Income
37,12/11/2024,Maintenance,Boralex Chateaugay,RPS Maintenance,,26.0,,,,Maintenance Biomass,,,,,,,North,,,,,,12920,Franklin,NY,North Country,Completed,2006.0,2006.0,10.0,,21.0,128000.0,128000.0,,,,POINT (-74.08016 44.92649),53000.0
38,12/11/2024,Tier 1,Branscomb Solar,RESRFP17-1,,,76.8,Yes,,Solar,New,,"Branscomb Solar, LLC",MN8 Energy,,,Capital,323811,731.0,SEQR,,,12834,Washington,NY,Capital Region,Operational,2021.0,2022.0,20.0,20.0,19.99,38472.0,46166.0,,,,POINT (-73.49696 43.08752),64625.0
39,12/11/2024,Tier 1,Brookside Solar,RESRFP23-1,,,98.42,,,Solar,New,,"Brookside Solar, LLC",AES Corporation,,,North,,880.0,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00917,,12920,Franklin,NY,North Country,Under Development,,2027.0,20.0,100.0,100.0,184729.0,221674.0,,,,POINT (-74.08016 44.92649),53000.0
40,12/11/2024,Non-Tier 1,Browns Falls,1037,,8.0,,,,Hydroelectric,,,,,,,Mohawk Valley,24044,,,,,13670,St Lawrence,NY,North Country,Completed,2007.0,2008.0,10.0,0.4,0.4,1161.0,1277.0,,,,POINT (-75.07083 44.18332),64625.0
41,12/11/2024,Non-Tier 1,Browns Falls*,916,,1.6,,,,Hydroelectric,,,,,,,Mohawk Valley,,,,,,13670,St Lawrence,NY,North Country,Completed,2005.0,2006.0,1.0,,,978.0,1125.0,,,,POINT (-75.07083 44.18332),64625.0
42,12/11/2024,Tier 1,Buffalo BioEnergy,2554,,30.0,,Yes,,Biogas - ADG,New,,Sustainable BioPower LLC,Quasar Energy Group,,,West,N/A,,,,,14224,Erie,NY,Western New York,Operational,2017.0,2017.0,10.0,1.24,1.24,4750.0,4750.0,,,,POINT (-78.75383 42.83505),64625.0
43,12/11/2024,Non-Tier 1,Burt Dam Incremental Hydro,3257,,10.0,,,,Hydroelectric,Existing,Upgrade,,,,,West,,,SEQR,,,14028,Niagara,NY,Western New York,Operational,2014.0,2016.0,19.0,0.09,0.08,324.0,324.0,,,,POINT (-78.71228 43.31645),64625.0
44,12/11/2024,Tier 1,Canisteo Wind & Storage,RESRFP18-1,,,,,,Land Based Wind,New,,,Invenergy,,,Central,,,,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0205,,14855,Steuben,NY,Southern Tier,Cancelled,,,20.0,290.0,290.0,894221.0,1073065.0,,,,POINT (-77.50328 42.12147),64625.0
45,12/11/2024,Tier 1,Canisteo Wind Energy Center,RESRFP23-1,,,99.99,,,Land Based Wind,New,,Canisteo Wind Energy LLC,Invenergy,,,Central,,519.0,Article 10,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0205,,14855,Steuben,NY,Southern Tier,Under Development,,2028.0,20.0,252.0,252.0,752021.0,902425.0,,,,POINT (-77.50328 42.12147),64625.0
46,12/11/2024,Tier 4,Champlain Hudson Power Express (CHPE),T4RFP21-1,,,,,,Hydroelectric,,,H.Q. Energy Services (U.S.) Inc.,"Transmission Developers, Inc. (backed by Blackstone) and Hydro-Qu�bec",,,,,,Article 7,https://chpexpress.com/overview-of-public-documents/permits/,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=10-T-0139,None,,,,Under Development,,2026.0,25.0,,,10402500.0,,,,1250.0,,64625.0
47,12/11/2024,Tier 1,Chasm Falls,RESRFP20-1,,,56.17,Yes,,Hydroelectric,Existing,Return to Service,Ampersand Chasm Falls Hydro LLC,Ampersand Hydro,,,North,5016,,SEQR,,,12920,Franklin,NY,North Country,Operational,2022.0,2022.0,20.0,1.6,1.6,5999.0,7199.0,,,,POINT (-74.08016 44.92649),53000.0
48,12/11/2024,Non-Tier 1,Chateaugay Wind Farm,1037,,17.75,,Yes,Yes,Land Based Wind,,,,,,,North,,,,,,12920,Clinton,NY,North Country,Completed,2009.0,2009.0,10.0,106.5,101.2,204817.0,215058.0,,,,POINT (-74.08016 44.92649),53000.0
49,12/11/2024,Non-Tier 1,Chautauqua LFGE,2226,,25.0,,Yes,Yes,Biogas - LFG,,,,,,,West,323629,,,,,14701,Chautauqua,NY,Western New York,Completed,2011.0,2011.0,10.0,8.0,2.11,11209.0,11209.0,,,,POINT (-79.2378 42.09605),64625.0
50,12/11/2024,Tier 1,Cider Solar Farm,RESRFP20-1,,,52.4,Yes,,Solar,New,,Hecate Energy Cider Solar LLC,Hecate Energy,,,West,,811.0,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-01108,,14058,Genesee,NY,Finger Lakes,Cancelled,,,20.0,500.0,500.0,928560.0,1114272.0,,,,POINT (-78.18627 43.0822),59000.0
51,12/11/2024,Tier 1,Cider Solar Farm,RESRFP23-1,,,74.87,Yes,,Solar,New,,Hecate Energy Cider Solar LLC,Greenbacker Renewable Energy Center,,,Genesee,,811.0,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-01108,,14125,Genesee,NY,Finger Lakes,Under Development,,2027.0,20.0,500.0,500.0,952197.0,1142636.0,,,,POINT (-78.27071 43.06599),72000.0
52,12/11/2024,Tier 4,Clean Path NY (CPNY),T4RFP21-1,,,,,,Wind/Solar,,,Clean Path New York LLC,Forward Power (a joint venture of Invenergy and energyRe) and the New York Power Authority,1168.0,,,,,Article 7,https://www.cleanpathny.com/public-documents,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=22-T-0558,None,,,,Cancelled,,,25.0,,,7870865.0,,,,1300.0,,64625.0
53,12/11/2024,Tier 1,Clear View Solar,RESRFP22-1,,,79.98,Yes,,Solar,New,,Clear View Solar LLC,VC Renewables,,,Central,,1003.0,SEQR,,,14808,Steuben,NY,Southern Tier,Under Development,,2026.0,20.0,19.99,19.99,42377.0,50852.0,,,,POINT (-77.47228 42.55434),64625.0
54,12/11/2024,Tier 1,Clear View Solar,RESRFP20-1,,,43.23,Yes,,Solar,New,,Clear View Solar LLC,Oriden Power,,,Central,,1003.0,SEQR,,,14808,Steuben,NY,Southern Tier,Cancelled,,,20.0,20.0,19.99,40822.0,48986.0,,,,POINT (-77.47228 42.55434),64625.0
55,12/11/2024,Non-Tier 1,Clinton Co.,2389,,24.99,,Yes,Yes,Biogas - LFG,,,,,,,North,,,,,,12962,Clinton,NY,North Country,Completed,2012.0,2012.0,10.0,6.4,1.28,6275.0,6275.0,,,,POINT (-73.56636 44.69294),64625.0
56,12/11/2024,Non-Tier 1,Clinton Wind,1037,,14.85,,Yes,Yes,Land Based Wind,,,,,,,North,,,,,,12962,Clinton,NY,North Country,Completed,2008.0,2008.0,10.0,100.5,95.5,172140.0,180747.0,,,,POINT (-73.56636 44.69294),64625.0
57,12/11/2024,Non-Tier 1,Cody Road,2554,,33.0,,,,Land Based Wind,New,,,,,,Central,,,,,,13035,Madison,NY,Central New York,Cancelled,,,10.0,10.0,9.5,27463.0,27463.0,,,,POINT (-75.84845 42.9296),64625.0
58,12/11/2024,Tier 1,Coeymans Solar,3257,,,76.52,Yes,,Solar,New,,Hecate Energy Albany 1 LLC,Greenbacker Renewable Energy Company,,,Capital,323833,570.0,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0617,,12158,Albany,NY,Capital Region,Operational,2023.0,2024.0,20.0,20.0,20.0,36084.0,43300.0,,,,POINT (-73.79876 42.53269),64625.0
59,12/11/2024,Non-Tier 1,Cohocton,1037,,19.94,,Yes,Yes,Land Based Wind,,,,,,,Central,,,,,,14826,Steuben,NY,Southern Tier,Completed,2009.0,2009.0,10.0,87.5,8.3,21247.0,23372.0,,,,POINT (-77.51062 42.50697),64625.0
60,12/11/2024,Tier 1,Cohocton Wind Project,RESRFP19-1,,18.5,,Yes,,Land Based Wind,Existing,Upgrade,"Canandaigua Power Partners, LLC",Brookfield Renewable,,,Central,323617,,SEQR,,,14826,Steuben,NY,Southern Tier,Operational,2021.0,2022.0,20.0,37.09,35.75,97083.0,116499.0,,,,POINT (-77.51062 42.50697),64625.0
61,12/11/2024,Non-Tier 1,Cohocton*,1168,,16.5,,Yes,Yes,Land Based Wind,,,,,,,Central,,,,,,14826,Steuben,NY,Southern Tier,Completed,2009.0,2009.0,10.0,,26.3,65700.0,65700.0,,,,POINT (-77.51062 42.50697),64625.0
62,12/11/2024,Non-Tier 1,Colton,1037,,8.25,,,,Hydroelectric,,,,,,,Mohawk Valley,24057,,,,,13625,St Lawrence,NY,North Country,Completed,2007.0,2008.0,10.0,0.7,0.7,4410.0,4851.0,,,,POINT (-74.94156 44.55449),64625.0
63,12/11/2024,Tier 1,Columbia Solar Energy Center,RESRFP21-1,,,,Yes,,Solar,New,,"Columbia Solar Energy Center, LLC",EDF Renewables Development,20.0,80.0,Mohawk Valley,,857.0,ORES,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=19-F-0639,,13357,Herkimer,NY,Mohawk Valley,Cancelled,,,20.0,350.0,350.0,646926.0,776311.0,,,,POINT (-75.04217 43.0184),64625.0
64,12/11/2024,OREC,Community Offshore Wind 1,ORECRFP22-1,,,,,,Offshore Wind,New,,,RWE Offshore Renewables and National Grid Ventures,,,,,,Article 7,https://www.boem.gov/renewable-energy/state-activities/community-offshore-wind-ocs-0539,,None,,,,Cancelled,,,25.0,1314.0,1314.0,,,5449329.0,,,,64625.0
65,12/11/2024,Non-Tier 1,Community Refuse LFG,2389,,14.98,,,,Biogas - LFG,,,,,,,,,,,,,17257,,PA,,Completed,2012.0,2012.0,10.0,6.4,6.08,47402.0,47402.0,,,,POINT (-77.51692 40.05194),64625.0
66,12/11/2024,Non-Tier 1,DANC,2226,,26.0,,Yes,Yes,Biogas - LFG,,,,,,,Mohawk Valley,,,,,,13682,Jefferson,NY,North Country,Completed,2011.0,2011.0,10.0,4.8,4.0,19178.0,19178.0,,,,POINT (-75.94078 43.85022),64625.0
67,12/11/2024,Tier 1,Darby Solar,RESRFP17-1,,,76.31,Yes,,Solar,New,,"Darby Solar, LLC",MN8 Energy,,,Capital,323810,730.0,SEQR,,,12154,Washington,NY,Capital Region,Operational,2023.0,2023.0,20.0,20.0,19.99,36774.0,44128.0,,,,POINT (-73.58644 42.89705),64625.0
68,12/11/2024,Tier 1,Dog Corners Solar,RESRFP23-1,Yes,,99.0,,,Solar,New,,Dog Corners Solar NY LLC,Cordelio Power,,,Central,,584.0,SEQR,,,13026,Cayuga,NY,Central New York,Under Development,,2026.0,20.0,19.99,19.99,38955.0,46746.0,,,,POINT (-76.70294 42.75771),64625.0
69,12/11/2024,Tier 1,Dolan Solar,RESRFP20-1,,,59.85,Yes,,Solar,New,,"Dolan Solar, LLC",CS Energy,,,Capital,,833.0,SEQR,,,12828,Washington,NY,Capital Region,Cancelled,,,20.0,19.99,19.99,40276.0,48331.0,,,,POINT (-73.58658 43.26888),64625.0
70,12/11/2024,Tier 1,Dolgeville Hydro,RESRFP22-1,,,,Yes,,Hydroelectric,Existing,Return to Service,EONY Generation Limited,EONY Generation Limited,,,Mohawk Valley,,,,,,13329,Herkimer,NY,Mohawk Valley,Cancelled,,,20.0,5.0,5.0,17170.0,20604.0,,,,POINT (-74.77379 43.09996),64625.0
71,12/11/2024,Tier 1,Double Lock Solar,RESRFP17-1,,25.5,,,,Solar,New,,"Double Lock Solar, LLC",Cypress Creek Renewables,,,Capital,,,,,,13339,Montgomery,NY,Mohawk Valley,Cancelled,,,20.0,19.99,19.39,32103.0,38523.0,,,,POINT (-74.62332 42.93068),64625.0
72,12/11/2024,Non-Tier 1,Dutch Hill,1037,,13.86,,Yes,Yes,Land Based Wind,,,,,,,Central,,,,,,14826,Steuben,NY,Southern Tier,Completed,2009.0,2009.0,10.0,37.5,4.3,8513.0,8513.0,,,,POINT (-77.51062 42.50697),64625.0
